,ClientId,DataExtracao,Score_Credito,Estado,Gênero,Idade,Tempo_Cliente,Limite_Credito_Mercado,Qte_Categorias,Usa_Cartao_Credito,Programa_Fidelidade,Sum_Pedidos_Acumulados,DataUltimaTransacao,DiasDesdeUltTransacao,Target
19,345587,2019-06-30,726,São Paulo,Feminino,24,6,0.0,2,1,1,228.01679166666668,2019-10-26,4,0
20,345588,2019-06-30,732,São Paulo,Masculino,41,8,0.0,2,1,1,712.0257083333332,2019-10-09,21,0
21,345589,2019-06-30,636,Rio de Janeiro,Feminino,32,8,0.0,2,1,0,577.3144166666666,2019-10-12,18,0
22,345590,2019-06-30,510,Rio de Janeiro,Feminino,38,4,0.0,1,1,0,495.4730416666666,2019-07-18,104,1
23,345591,2019-06-30,669,São Paulo,Masculino,46,3,0.0,2,0,1,35.365625,2019-10-20,10,0
24,345592,2019-06-30,846,São Paulo,Feminino,38,5,0.0,1,1,1,781.7339999999999,2019-10-11,19,0
25,345593,2019-06-30,577,São Paulo,Masculino,25,3,0.0,2,0,1,518.7845416666668,2019-10-10,20,0
26,345594,2019-06-30,756,Minas Gerais,Masculino,36,2,1368.1564,1,1,1,708.5081250000002,2019-10-10,20,0
27,345595,2019-06-30,571,São Paulo,Masculino,44,9,0.0,2,0,0,160.1389583333333,2019-10-03,27,0
28,345596,2019-06-30,574,Minas Gerais,Feminino,43,3,1413.4942999999996,1,1,1,417.447625,2019-10-06,24,0
29,345597,2019-06-30,411,São Paulo,Masculino,29,0,596.9716999999998,2,1,1,222.8467083333333,2019-10-29,1,0
30,345598,2019-06-30,591,Rio de Janeiro,Feminino,39,3,0.0,3,1,0,585.2890833333333,2019-08-25,66,1
31,345599,2019-06-30,533,São Paulo,Masculino,36,7,853.117,1,0,1,653.049625,2019-10-20,10,0
32,345600,2019-06-30,553,Minas Gerais,Masculino,41,9,1101.1254,2,0,0,341.2450416666666,2019-10-09,21,0
33,345601,2019-06-30,520,Rio de Janeiro,Feminino,42,6,0.0,2,1,1,143.37729166666668,2019-10-30,0,0
34,345602,2019-06-30,722,Rio de Janeiro,Feminino,29,9,0.0,2,1,1,591.8044583333333,2019-10-28,2,0
35,345603,2019-06-30,475,São Paulo,Feminino,45,0,1342.6404,1,1,0,115.929125,2019-07-14,108,1
36,345604,2019-06-30,490,Rio de Janeiro,Masculino,31,3,1452.6023,1,0,1,475.2782083333333,2019-10-28,2,0
37,345605,2019-06-30,804,Rio de Janeiro,Masculino,33,7,765.4860000000001,1,0,1,410.2227083333333,2019-10-22,8,0
38,345606,2019-06-30,850,São Paulo,Masculino,36,7,0.0,1,1,1,170.05374999999995,2019-10-21,9,0
39,345607,2019-06-30,582,Minas Gerais,Masculino,41,6,703.4947999999998,2,0,1,741.9751666666667,2019-10-12,18,0
40,345608,2019-06-30,472,Rio de Janeiro,Masculino,40,4,0.0,1,1,0,292.30925,2019-10-19,11,0
41,345609,2019-06-30,465,São Paulo,Feminino,51,8,1225.2232,1,0,0,755.4068749999997,2019-09-24,36,1
42,345610,2019-06-30,556,São Paulo,Feminino,61,2,1174.1935,1,1,1,392.307625,2019-10-13,17,0
43,345611,2019-06-30,834,São Paulo,Feminino,49,2,1313.9456,1,0,0,809.8573333333335,2019-09-29,31,1
44,345612,2019-06-30,660,Rio de Janeiro,Feminino,61,5,1559.3111,1,1,1,659.7432916666667,2019-10-16,14,0
45,345613,2019-06-30,776,Minas Gerais,Feminino,32,4,1094.2113,2,1,1,527.1560833333334,2019-10-11,19,0
46,345614,2019-06-30,829,Minas Gerais,Feminino,27,9,1120.4567,1,1,1,498.78420833333337,2019-08-07,84,1
47,345615,2019-06-30,637,Minas Gerais,Feminino,39,9,1378.438,1,1,1,490.095,2019-09-03,57,1
48,345616,2019-06-30,550,Minas Gerais,Masculino,38,2,1033.9138,1,0,1,378.658875,2019-10-14,16,0
49,345617,2019-06-30,776,Minas Gerais,Feminino,37,2,1037.6922,2,1,0,808.7463333333333,2019-10-13,17,0
50,345618,2019-06-30,698,Minas Gerais,Masculino,44,10,1163.6337,2,1,0,825.2465,2019-10-24,6,0
51,345619,2019-06-30,585,Minas Gerais,Masculino,36,5,1460.5097,2,0,0,360.10237500000017,2019-10-24,6,0
52,345620,2019-06-30,788,São Paulo,Feminino,33,5,0.0,2,0,0,487.409125,2019-10-22,8,0
53,345621,2019-06-30,655,Minas Gerais,Masculino,41,8,1255.6197,1,0,0,683.5039166666667,2019-07-22,100,1
54,345622,2019-06-30,601,Minas Gerais,Masculino,42,1,984.9572,1,1,0,166.72816666666668,2019-09-03,57,1
55,345623,2019-06-30,619,São Paulo,Masculino,43,1,1252.1192,1,1,1,472.54370833333326,2019-10-09,21,0
56,345624,2019-06-30,656,São Paulo,Masculino,45,5,1278.644,1,1,0,362.94820833333335,2019-10-06,24,0
57,345625,2019-06-30,725,Minas Gerais,Masculino,19,0,758.882,1,0,0,190.05729166666669,2019-10-17,13,0
58,345626,2019-06-30,511,Rio de Janeiro,Feminino,66,4,0.0,1,1,0,6.846291666666667,2019-07-29,93,1
59,345627,2019-06-30,614,São Paulo,Masculino,51,4,406.8592,1,1,1,194.897,2019-10-24,6,0
60,345628,2019-06-30,742,Minas Gerais,Masculino,35,5,1368.57,1,0,0,352.12320833333337,2019-10-17,13,0
61,345629,2019-06-30,687,Minas Gerais,Feminino,27,9,1523.2888,2,0,0,527.0617500000002,2019-10-19,11,0
62,345630,2019-06-30,555,Rio de Janeiro,Masculino,33,1,560.8469,2,0,0,744.9922083333333,2019-10-11,19,0
63,345631,2019-06-30,684,Rio de Janeiro,Masculino,56,8,787.0716,1,1,1,414.15983333333327,2019-10-12,18,0
64,345632,2019-06-30,603,Minas Gerais,Masculino,26,4,1091.6637,1,1,1,386.836125,2019-10-13,17,0
65,345633,2019-06-30,751,Minas Gerais,Feminino,36,6,1698.3146,2,1,1,115.65983333333334,2019-10-25,5,0
66,345634,2019-06-30,581,Minas Gerais,Feminino,34,1,1016.3304,1,1,0,460.1312916666667,2019-10-03,27,0
67,345635,2019-06-30,735,Minas Gerais,Masculino,43,10,1231.8001,2,1,1,819.472,2019-10-21,9,0
68,345636,2019-06-30,661,Minas Gerais,Feminino,35,5,1507.2553,2,0,1,473.57020833333337,2019-10-18,12,0
69,345637,2019-06-30,675,São Paulo,Feminino,21,8,983.7326,1,1,0,75.84583333333335,2019-10-06,24,0
70,345638,2019-06-30,738,Minas Gerais,Masculino,58,2,1337.4544,4,1,0,118.22441666666666,2019-09-15,45,1
71,345639,2019-06-30,813,São Paulo,Masculino,29,6,0.0,1,1,0,141.47445833333333,2019-10-28,2,0
72,345640,2019-06-30,657,Rio de Janeiro,Feminino,37,0,1636.0718,1,0,1,184.18145833333327,2019-10-02,28,0
73,345641,2019-06-30,604,Minas Gerais,Feminino,25,5,1577.8084,2,1,1,243.44504166666667,2019-10-05,25,0
74,345642,2019-06-30,519,São Paulo,Masculino,36,9,0.0,2,0,1,606.5099999999999,2019-10-09,21,0
75,345643,2019-06-30,735,São Paulo,Feminino,21,1,1787.1819,2,1,0,93.28333333333336,2019-10-11,19,0
76,345644,2019-06-30,664,São Paulo,Masculino,55,8,0.0,2,1,1,579.8401666666667,2019-10-27,3,0
77,345645,2019-06-30,678,São Paulo,Feminino,32,9,0.0,1,1,1,617.5443333333334,2019-10-14,16,0
78,345646,2019-06-30,757,Rio de Janeiro,Masculino,33,5,772.5322,1,0,1,809.3317916666667,2019-10-03,27,0
79,345647,2019-06-30,416,Minas Gerais,Feminino,41,10,1221.8966,2,1,0,409.5900416666667,2019-10-28,2,0
80,345648,2019-06-30,665,São Paulo,Feminino,34,1,966.4554,2,0,0,714.2235833333333,2019-10-20,10,0
81,345649,2019-06-30,777,São Paulo,Feminino,32,2,0.0,1,1,0,568.5757916666666,2019-08-08,83,1
82,345650,2019-06-30,543,São Paulo,Feminino,36,3,0.0,2,0,0,108.41495833333332,2019-10-28,2,0
83,345651,2019-06-30,506,São Paulo,Feminino,34,4,903.0762,1,1,1,663.480375,2019-10-13,17,0
84,345652,2019-06-30,493,São Paulo,Feminino,46,4,0.0,2,1,0,7.948583333333334,2019-10-20,10,0
85,345653,2019-06-30,652,Rio de Janeiro,Feminino,75,10,0.0,2,1,1,477.815625,2019-10-14,16,0
86,345654,2019-06-30,750,Rio de Janeiro,Masculino,22,3,1216.8182000000004,1,1,0,536.0139583333333,2019-08-17,74,1
87,345655,2019-06-30,729,São Paulo,Masculino,30,9,0.0,2,1,0,632.7889583333333,2019-10-20,10,0
88,345656,2019-06-30,646,São Paulo,Feminino,46,4,0.0,3,1,0,388.5475833333333,2019-07-24,98,1
89,345657,2019-06-30,635,Minas Gerais,Feminino,28,3,816.2366999999998,2,1,1,653.2973333333333,2019-10-17,13,0
90,345658,2019-06-30,647,Rio de Janeiro,Feminino,44,5,0.0,3,1,1,725.8550833333335,2019-07-26,96,1
91,345659,2019-06-30,808,São Paulo,Masculino,45,7,1186.2655,2,1,0,613.0519166666667,2019-10-18,12,0
92,345660,2019-06-30,524,São Paulo,Feminino,36,10,0.0,2,1,0,456.72737500000005,2019-10-11,19,0
93,345661,2019-06-30,769,São Paulo,Masculino,29,8,0.0,2,1,1,717.8775416666666,2019-10-03,27,0
94,345662,2019-06-30,730,Rio de Janeiro,Masculino,42,4,0.0,2,0,1,358.26029166666666,2019-10-10,20,0
95,345663,2019-06-30,515,Rio de Janeiro,Masculino,35,10,1762.7395,1,0,1,505.3240833333333,2019-10-17,13,0
96,345664,2019-06-30,773,Rio de Janeiro,Masculino,41,9,1028.2744,1,0,1,269.146875,2019-10-24,6,0
97,345665,2019-06-30,814,Minas Gerais,Masculino,29,8,970.864,2,1,1,821.9838750000001,2019-10-04,26,0
98,345666,2019-06-30,710,Rio de Janeiro,Masculino,22,8,0.0,2,0,0,415.1876666666666,2019-10-02,28,0
99,345667,2019-06-30,413,São Paulo,Masculino,34,9,0.0,2,0,0,27.22575,2019-10-07,23,0
100,345668,2019-06-30,665,São Paulo,Feminino,40,6,0.0,1,1,1,674.3667916666666,2019-10-14,16,0
101,345669,2019-06-30,623,São Paulo,Feminino,44,6,0.0,2,0,0,696.510125,2019-10-16,14,0
102,345670,2019-06-30,738,São Paulo,Masculino,31,9,826.7415,1,1,0,174.878,2019-10-23,7,0
103,345671,2019-06-30,528,Rio de Janeiro,Masculino,36,7,0.0,2,1,0,252.23566666666665,2019-10-10,20,0
104,345672,2019-06-30,670,Rio de Janeiro,Feminino,65,1,0.0,1,1,1,740.232,2019-08-26,65,1
105,345673,2019-06-30,622,Rio de Janeiro,Feminino,46,4,1070.7327,2,1,1,129.10245833333337,2019-08-19,72,1
106,345674,2019-06-30,582,Minas Gerais,Masculino,32,1,889.3861999999998,1,1,1,41.893875,2019-10-28,2,0
107,345675,2019-06-30,785,Minas Gerais,Feminino,36,2,998.0685,1,0,1,154.06883333333332,2019-10-28,2,0
108,345676,2019-06-30,605,Rio de Janeiro,Masculino,33,5,1500.928,1,0,0,299.42829166666667,2019-10-15,15,0
109,345677,2019-06-30,479,Minas Gerais,Masculino,35,9,928.3389,1,1,0,414.37441666666666,2019-07-16,106,1
110,345678,2019-06-30,685,Minas Gerais,Masculino,30,3,905.3681,1,0,1,262.8453333333333,2019-10-14,16,0
111,345679,2019-06-30,538,Minas Gerais,Masculino,39,7,1080.5510000000004,2,1,0,113.46358333333332,2019-10-06,24,0
112,345680,2019-06-30,562,São Paulo,Masculino,42,2,1002.3835,1,0,0,361.655875,2019-10-29,1,0
113,345681,2019-06-30,675,Rio de Janeiro,Masculino,36,9,1061.9055,1,0,1,95.80966666666669,2019-10-12,18,0
114,345682,2019-06-30,721,Minas Gerais,Masculino,28,9,1544.7554,2,0,1,422.08725,2019-07-30,92,1
115,345683,2019-06-30,628,Minas Gerais,Feminino,30,9,1323.5129000000004,2,1,1,309.0380416666667,2019-10-23,7,0
116,345684,2019-06-30,668,Minas Gerais,Feminino,37,6,1678.644,1,1,0,481.8262083333333,2019-10-25,5,0
117,345685,2019-06-30,506,São Paulo,Feminino,41,1,0.0,2,1,0,132.35958333333332,2019-10-09,21,0
118,345686,2019-06-30,524,Minas Gerais,Feminino,31,8,1078.1863,1,1,0,832.1891250000001,2019-09-26,34,1
119,345687,2019-06-30,699,Minas Gerais,Masculino,34,4,1851.7381,2,1,0,503.477,2019-10-29,1,0
120,345688,2019-06-30,828,São Paulo,Masculino,34,8,1294.3334,2,0,0,158.88237499999997,2019-10-24,6,0
121,345689,2019-06-30,674,Rio de Janeiro,Masculino,39,6,1201.9342,1,0,0,417.21229166666666,2019-10-29,1,0
122,345690,2019-06-30,656,São Paulo,Feminino,39,6,0.0,2,1,0,587.7911666666668,2019-10-17,13,0
123,345691,2019-06-30,684,Minas Gerais,Feminino,48,10,1263.8442,1,1,1,825.539,2019-10-25,5,0
124,345692,2019-06-30,625,São Paulo,Feminino,28,3,0.0,1,0,0,765.1933750000002,2019-10-07,23,0
125,345693,2019-06-30,432,São Paulo,Masculino,42,9,1526.0345000000002,1,1,0,459.4385,2019-07-04,118,1
126,345694,2019-06-30,549,São Paulo,Feminino,52,1,0.0,1,0,1,35.98354166666665,2019-07-22,100,1
127,345695,2019-06-30,625,Minas Gerais,Masculino,56,0,1485.0724,1,1,0,195.1003333333333,2019-09-24,36,1
128,345696,2019-06-30,828,São Paulo,Feminino,41,7,0.0,2,1,0,714.0782083333332,2019-10-04,26,0
129,345697,2019-06-30,770,São Paulo,Masculino,24,9,1018.2707,1,1,0,696.9014583333334,2019-10-18,12,0
130,345698,2019-06-30,758,São Paulo,Feminino,34,3,0.0,2,1,1,517.609,2019-10-26,4,0
131,345699,2019-06-30,795,Minas Gerais,Feminino,33,9,1308.6243,1,1,1,478.8967083333334,2019-10-01,29,0
132,345700,2019-06-30,687,São Paulo,Masculino,38,9,1225.7087,1,1,1,148.37033333333332,2019-10-19,11,0
133,345701,2019-06-30,686,São Paulo,Masculino,25,1,0.0,2,0,1,68.58070833333332,2019-10-15,15,0
134,345702,2019-06-30,789,Minas Gerais,Masculino,39,7,1248.2846,2,1,1,518.3795,2019-10-17,13,0
135,345703,2019-06-30,589,Minas Gerais,Feminino,50,5,1448.9505,2,1,1,145.58845833333334,2019-10-14,16,0
136,345704,2019-06-30,461,Minas Gerais,Feminino,34,5,636.6393,1,0,1,699.1011666666666,2019-10-28,2,0
137,345705,2019-06-30,637,São Paulo,Masculino,40,2,1334.631,1,0,1,388.18891666666656,2019-10-13,17,0
138,345706,2019-06-30,584,Rio de Janeiro,Feminino,48,2,2131.462,1,1,0,313.171875,2019-07-04,118,1
139,345707,2019-06-30,579,Rio de Janeiro,Feminino,35,1,1294.9036,2,0,1,35.795125,2019-08-18,73,1
140,345708,2019-06-30,756,Minas Gerais,Masculino,44,10,1374.5209,1,1,0,789.7662499999997,2019-10-13,17,0
141,345709,2019-06-30,663,São Paulo,Masculino,34,7,0.0,2,1,1,751.7801666666667,2019-10-10,20,0
142,345710,2019-06-30,682,São Paulo,Feminino,43,5,1258.5193,1,1,1,805.4930416666666,2019-10-23,7,0
143,345711,2019-06-30,793,Rio de Janeiro,Masculino,52,2,0.0,1,1,0,663.0159166666667,2019-07-12,110,1
144,345712,2019-06-30,691,São Paulo,Feminino,31,5,409.1555,1,1,0,525.891,2019-07-19,103,1
145,345713,2019-06-30,485,Rio de Janeiro,Feminino,21,5,1131.5722,1,1,1,225.5895833333333,2019-10-29,1,0
146,345714,2019-06-30,635,Rio de Janeiro,Feminino,29,8,1382.9694,2,1,0,587.8146250000002,2019-10-19,11,0
147,345715,2019-06-30,650,São Paulo,Masculino,37,5,1069.6717999999996,1,0,0,102.062625,2019-10-26,4,0
148,345716,2019-06-30,735,São Paulo,Masculino,44,9,1206.8163,1,1,0,311.81808333333333,2019-10-16,14,0
149,345717,2019-06-30,416,São Paulo,Masculino,32,0,0.0,2,0,1,3.661958333333333,2019-10-23,7,0
150,345718,2019-06-30,754,Rio de Janeiro,Feminino,32,7,0.0,2,1,0,373.003125,2019-10-27,3,0
151,345719,2019-06-30,535,São Paulo,Feminino,48,9,0.0,1,1,0,624.5532916666667,2019-08-08,83,1
152,345720,2019-06-30,716,Rio de Janeiro,Masculino,42,8,0.0,2,1,0,753.3350833333334,2019-10-20,10,0
153,345721,2019-06-30,539,São Paulo,Masculino,37,2,1276.0959,1,1,0,411.02591666666666,2019-10-17,13,0
154,345722,2019-06-30,614,São Paulo,Feminino,43,6,0.0,2,1,1,454.3397083333333,2019-10-03,27,0
155,345723,2019-06-30,706,Rio de Janeiro,Masculino,57,7,0.0,1,1,0,74.75483333333331,2019-08-28,63,1
156,345724,2019-06-30,758,São Paulo,Feminino,33,7,0.0,2,0,0,345.818625,2019-10-18,12,0
157,345725,2019-06-30,586,Rio de Janeiro,Feminino,28,2,0.0,2,1,1,383.61395833333336,2019-10-02,28,0
158,345726,2019-06-30,646,São Paulo,Feminino,73,6,972.5925,1,0,1,436.3319166666667,2019-10-22,8,0
159,345727,2019-06-30,631,Minas Gerais,Feminino,33,4,1232.467,1,0,0,469.5315416666667,2019-10-30,0,0
160,345728,2019-06-30,717,Rio de Janeiro,Feminino,22,6,1010.6025,1,0,1,352.91483333333326,2019-10-12,18,0
161,345729,2019-06-30,684,São Paulo,Masculino,30,2,0.0,2,1,0,347.8075833333333,2019-10-07,23,0
162,345730,2019-06-30,800,São Paulo,Feminino,49,7,1080.0736,1,0,0,196.354625,2019-10-24,6,0
163,345731,2019-06-30,721,Rio de Janeiro,Feminino,36,2,0.0,2,1,1,445.7408333333333,2019-10-14,16,0
164,345732,2019-06-30,683,Rio de Janeiro,Masculino,29,0,1337.0289000000002,1,1,0,231.59391666666664,2019-08-06,85,1
165,345733,2019-06-30,660,Minas Gerais,Masculino,31,9,1251.8975,2,1,1,582.810125,2019-10-12,18,0
166,345734,2019-06-30,704,Minas Gerais,Feminino,24,7,1130.3422,1,1,0,677.0978333333334,2019-08-04,87,1
167,345735,2019-06-30,615,Rio de Janeiro,Feminino,41,9,1090.1323,1,1,0,818.7498333333333,2019-10-04,26,0
168,345736,2019-06-30,667,Rio de Janeiro,Feminino,39,2,0.0,2,1,0,169.67183333333332,2019-08-09,82,1
169,345737,2019-06-30,682,Minas Gerais,Masculino,24,9,579.2981,2,0,0,221.39291666666668,2019-10-09,21,0
170,345738,2019-06-30,484,São Paulo,Feminino,29,4,1301.1439,1,1,0,683.4078750000002,2019-10-01,29,0
171,345739,2019-06-30,628,Minas Gerais,Masculino,27,5,958.2649,2,1,0,649.9873333333333,2019-10-10,20,0
172,345740,2019-06-30,480,Minas Gerais,Masculino,44,10,1296.0857,1,1,0,22.80291666666667,2019-07-11,111,1
173,345741,2019-06-30,578,São Paulo,Masculino,30,4,1694.6209,1,1,0,467.4462916666666,2019-10-22,8,0
174,345742,2019-06-30,512,São Paulo,Masculino,40,5,0.0,2,1,1,610.2409583333333,2019-10-29,1,0
175,345743,2019-06-30,484,Rio de Janeiro,Feminino,35,7,1338.6821,1,1,1,113.69208333333331,2019-10-20,10,0
176,345744,2019-06-30,510,São Paulo,Feminino,30,0,0.0,2,1,1,543.9727916666667,2019-10-27,3,0
177,345745,2019-06-30,606,Minas Gerais,Masculino,36,5,1904.7948,2,0,0,747.2995416666668,2019-10-21,9,0
178,345746,2019-06-30,597,Rio de Janeiro,Feminino,40,8,1019.9312,1,0,1,394.8921666666666,2019-10-24,6,0
179,345747,2019-06-30,754,Minas Gerais,Feminino,55,3,1616.0881,1,1,0,33.67020833333333,2019-09-14,46,1
180,345748,2019-06-30,850,Rio de Janeiro,Feminino,45,2,1223.1121,1,1,1,81.17708333333334,2019-10-16,14,0
181,345749,2019-06-30,510,São Paulo,Masculino,65,2,0.0,2,1,1,200.298375,2019-10-29,1,0
182,345750,2019-06-30,778,Minas Gerais,Feminino,45,1,1621.5042,2,1,0,727.213625,2019-10-17,13,0
183,345751,2019-06-30,636,São Paulo,Masculino,42,2,0.0,2,1,1,231.12825,2019-10-08,22,0
184,345752,2019-06-30,804,São Paulo,Feminino,50,4,0.0,1,1,1,35.61195833333333,2019-08-18,73,1
185,345753,2019-06-30,514,São Paulo,Masculino,32,8,0.0,2,1,0,399.4049166666666,2019-10-27,3,0
186,345754,2019-06-30,730,São Paulo,Feminino,39,1,990.1067,1,1,0,812.2741666666666,2019-10-21,9,0
187,345755,2019-06-30,525,Rio de Janeiro,Feminino,37,0,0.0,1,0,1,548.0071666666666,2019-10-08,22,0
188,345756,2019-06-30,616,Rio de Janeiro,Masculino,30,5,0.0,2,0,1,817.1187916666668,2019-10-10,20,0
189,345757,2019-06-30,687,Minas Gerais,Feminino,34,7,1113.8818,2,1,0,619.0198333333334,2019-10-01,29,0
190,345758,2019-06-30,715,São Paulo,Feminino,41,8,562.1485,2,0,0,387.42754166666674,2019-07-02,120,1
191,345759,2019-06-30,512,São Paulo,Feminino,36,3,843.2777000000002,2,1,0,73.64733333333334,2019-10-01,29,0
192,345760,2019-06-30,479,São Paulo,Masculino,40,1,0.0,2,0,0,479.15179166666667,2019-10-14,16,0
193,345761,2019-06-30,601,São Paulo,Masculino,32,8,930.1289,1,1,0,362.3225833333333,2019-10-03,27,0
194,345762,2019-06-30,580,Rio de Janeiro,Masculino,29,9,617.1044,2,1,0,533.6575,2019-10-23,7,0
195,345763,2019-06-30,807,São Paulo,Masculino,35,3,1747.9015,1,1,1,2.5015,2019-10-10,20,0
196,345764,2019-06-30,616,Rio de Janeiro,Feminino,32,6,0.0,2,1,1,179.17275,2019-10-27,3,0
197,345765,2019-06-30,721,Minas Gerais,Masculino,37,3,1077.2064,1,1,1,660.7963333333333,2019-10-21,9,0
198,345766,2019-06-30,501,São Paulo,Masculino,57,10,0.0,2,1,1,199.36329166666667,2019-10-11,19,0
199,345767,2019-06-30,521,São Paulo,Masculino,35,6,964.2384,1,1,0,43.70183333333334,2019-10-01,29,0
200,345768,2019-06-30,850,Rio de Janeiro,Masculino,30,2,1410.4001,1,1,1,24.90916666666667,2019-10-03,27,0
201,345769,2019-06-30,759,São Paulo,Masculino,42,4,1054.2017999999996,1,0,1,505.8710833333333,2019-10-28,2,0
202,345770,2019-06-30,516,Rio de Janeiro,Masculino,50,5,0.0,1,0,1,608.941375,2019-09-09,51,1
203,345771,2019-06-30,711,São Paulo,Feminino,38,2,1290.2206,2,1,1,59.89525,2019-09-19,41,1
204,345772,2019-06-30,512,Rio de Janeiro,Masculino,33,3,1766.6662,1,1,0,394.46154166666673,2019-10-01,29,0
205,345773,2019-06-30,550,São Paulo,Masculino,37,3,0.0,1,1,1,748.6262916666667,2019-10-03,27,0
206,345774,2019-06-30,608,Rio de Janeiro,Feminino,41,3,897.6383999999998,1,0,0,830.4364166666667,2019-08-03,88,1
207,345775,2019-06-30,618,São Paulo,Masculino,34,5,1349.5453,1,1,1,633.1432916666668,2019-10-28,2,0
208,345776,2019-06-30,643,São Paulo,Masculino,45,5,0.0,1,1,0,593.80625,2019-08-09,82,1
209,345777,2019-06-30,671,São Paulo,Masculino,45,2,1063.7685,1,0,1,659.4359166666667,2019-10-23,7,0
210,345778,2019-06-30,689,Minas Gerais,Masculino,33,2,1618.1464,2,1,0,705.7579166666667,2019-10-30,0,0
211,345779,2019-06-30,603,São Paulo,Masculino,31,8,0.0,2,1,1,707.97925,2019-10-29,1,0
212,345780,2019-06-30,620,São Paulo,Feminino,41,9,0.0,2,0,0,370.218625,2019-10-21,9,0
213,345781,2019-06-30,676,São Paulo,Feminino,34,1,630.9501,1,1,1,169.35754166666666,2019-10-12,18,0
214,345782,2019-06-30,572,Minas Gerais,Masculino,26,4,1182.8701,2,0,0,251.78041666666667,2019-10-09,21,0
215,345783,2019-06-30,668,Minas Gerais,Masculino,47,7,1068.5421,1,0,1,658.1625833333333,2019-07-09,113,1
216,345784,2019-06-30,695,São Paulo,Masculino,46,7,495.1255000000001,1,1,0,554.1972499999998,2019-10-25,5,0
217,345785,2019-06-30,730,Rio de Janeiro,Feminino,33,9,0.0,2,0,0,735.7359166666665,2019-10-20,10,0
218,345786,2019-06-30,807,São Paulo,Masculino,43,1,1057.9932,2,1,0,145.36683333333332,2019-07-21,101,1
219,345787,2019-06-30,592,São Paulo,Masculino,54,8,0.0,1,1,1,119.74045833333332,2019-08-12,79,1
220,345788,2019-06-30,726,São Paulo,Feminino,31,9,1147.2205,2,1,1,409.077375,2019-10-11,19,0
221,345789,2019-06-30,514,Rio de Janeiro,Masculino,30,7,0.0,1,0,1,520.876,2019-10-17,13,0
222,345790,2019-06-30,567,São Paulo,Masculino,42,2,0.0,2,1,1,699.9358749999999,2019-10-06,24,0
223,345791,2019-06-30,850,São Paulo,Masculino,33,10,0.0,1,1,0,20.257166666666677,2019-08-10,81,1
224,345792,2019-06-30,671,Minas Gerais,Masculino,45,6,995.6422,1,1,1,453.6352083333333,2019-09-02,58,1
225,345793,2019-06-30,670,São Paulo,Masculino,37,4,1705.5791,2,1,0,826.0536666666667,2019-10-26,4,0
226,345794,2019-06-30,694,São Paulo,Feminino,30,9,0.0,2,1,1,112.334625,2019-10-29,1,0
227,345795,2019-06-30,547,Minas Gerais,Feminino,39,6,745.9614999999999,3,1,1,357.27716666666674,2019-08-26,65,1
