,Idade,Qte_Categorias,Limite_Credito_Mercado,Estado,ClientId,Target
2650,33,1,1001.1682,São Paulo,348218,0
4522,39,2,0.0,Rio de Janeiro,350090,0
9519,27,2,0.0,São Paulo,355087,0
3118,33,2,0.0,São Paulo,348686,0
3728,66,2,1156.5447,Rio de Janeiro,349296,0
3886,34,2,1478.333,Minas Gerais,349454,0
7107,45,2,974.8615,Minas Gerais,352675,0
8068,29,1,989.5587,Minas Gerais,353636,0
7325,34,2,0.0,Rio de Janeiro,352893,0
8483,34,1,1528.0674,Rio de Janeiro,354051,0
8767,29,2,0.0,São Paulo,354335,0
6500,43,1,1533.1367,São Paulo,352068,0
8426,26,2,0.0,São Paulo,353994,0
7963,37,2,0.0,São Paulo,353531,0
601,26,2,1237.0946,Rio de Janeiro,346169,0
9249,39,1,1716.4676000000004,Rio de Janeiro,354817,0
8919,32,1,1212.4076,São Paulo,354487,0
6814,25,2,0.0,São Paulo,352382,0
5411,40,2,0.0,São Paulo,350979,0
8747,29,2,731.9452,São Paulo,354315,0
5522,37,2,810.7034,São Paulo,351090,0
1044,38,2,1196.2454,São Paulo,346612,0
7334,18,2,0.0,São Paulo,352902,0
1557,37,1,904.3292,Minas Gerais,347125,1
3739,32,1,0.0,São Paulo,349307,0
3522,38,2,0.0,São Paulo,349090,0
180,45,1,1223.1121,Rio de Janeiro,345748,0
2115,54,1,1254.5607,Minas Gerais,347683,1
1699,31,2,1220.2192,Minas Gerais,347267,0
1379,32,1,920.4187,Minas Gerais,346947,0
7229,29,2,0.0,São Paulo,352797,0
9143,34,1,1003.5954,São Paulo,354711,0
618,42,1,1390.7051,Rio de Janeiro,346186,0
3181,37,1,1332.9245,Rio de Janeiro,348749,0
9851,28,2,1198.5952,Minas Gerais,355419,0
1600,28,1,1150.6261,São Paulo,347168,0
5963,40,1,1044.498,Minas Gerais,351531,0
1615,21,1,979.565,Minas Gerais,347183,0
5920,36,2,0.0,São Paulo,351488,0
9591,40,1,830.1571,Rio de Janeiro,355159,0
3891,28,1,919.3831,Minas Gerais,349459,0
2083,24,1,0.0,São Paulo,347651,0
4574,32,2,0.0,São Paulo,350142,0
5594,40,1,0.0,São Paulo,351162,0
5121,35,2,0.0,Rio de Janeiro,350689,0
4587,34,1,0.0,São Paulo,350155,0
4902,30,2,1761.6656,São Paulo,350470,0
8252,56,2,0.0,São Paulo,353820,0
5916,39,2,0.0,Rio de Janeiro,351484,0
5129,42,1,1643.0776999999996,Minas Gerais,350697,0
8334,37,2,0.0,São Paulo,353902,1
1918,28,2,1091.1805,São Paulo,347486,0
8330,38,1,483.87,Rio de Janeiro,353898,0
5707,25,2,0.0,São Paulo,351275,0
5384,28,1,0.0,Rio de Janeiro,350952,0
6336,35,1,1215.2036,Minas Gerais,351904,0
2054,41,2,0.0,São Paulo,347622,0
7612,28,1,1386.6817999999996,Rio de Janeiro,353180,0
9209,24,1,1160.8432,São Paulo,354777,0
3963,31,2,0.0,São Paulo,349531,0
1126,33,1,1225.2818,Rio de Janeiro,346694,0
3428,35,2,0.0,São Paulo,348996,0
4601,30,1,1344.9726999999998,Minas Gerais,350169,0
3721,41,1,1522.4357,São Paulo,349289,0
2389,35,2,822.3150999999998,Rio de Janeiro,347957,0
1322,44,1,587.8176,São Paulo,346890,0
1603,36,1,1662.8785,Minas Gerais,347171,0
7224,34,2,1270.9514,Rio de Janeiro,352792,0
7425,33,1,1449.6274,Minas Gerais,352993,1
4336,38,2,1154.4219,Minas Gerais,349904,1
5593,50,1,0.0,Rio de Janeiro,351161,1
4411,42,1,414.7333,Rio de Janeiro,349979,1
5858,30,1,1761.7351999999996,São Paulo,351426,1
9343,43,2,1520.6359,Minas Gerais,354911,0
3991,59,2,916.801,Minas Gerais,349559,1
6079,31,1,1038.3775,Minas Gerais,351647,0
1559,42,2,779.9297,Minas Gerais,347127,0
4682,24,1,1095.5836,São Paulo,350250,0
7557,34,2,0.0,São Paulo,353125,0
3772,34,1,1329.4453,Rio de Janeiro,349340,0
8779,34,1,1055.8866,São Paulo,354347,0
3457,36,2,1882.4105,Rio de Janeiro,349025,1
8383,36,2,1486.6781,São Paulo,353951,0
1354,52,1,0.0,Rio de Janeiro,346922,1
45,32,2,1094.2113,Minas Gerais,345613,0
9872,37,2,0.0,Rio de Janeiro,355440,0
748,38,1,622.7699,Rio de Janeiro,346316,0
7917,38,2,1262.6588000000004,Minas Gerais,353485,0
4241,63,2,0.0,Rio de Janeiro,349809,0
5628,44,2,1052.067,Minas Gerais,351196,0
4657,48,2,0.0,São Paulo,350225,0
4238,39,2,946.3126,São Paulo,349806,0
3460,39,2,1174.6991,Minas Gerais,349028,0
7381,25,1,1418.2588,Minas Gerais,352949,1
5549,33,2,0.0,Rio de Janeiro,351117,0
7075,34,1,1095.641,São Paulo,352643,0
5838,51,1,888.2753,Rio de Janeiro,351406,1
8091,29,2,959.8469,São Paulo,353659,0
5474,34,2,0.0,São Paulo,351042,0
3614,36,2,1266.0663,Minas Gerais,349182,0
7501,58,1,931.7388,São Paulo,353069,0
7053,43,3,1650.485,Minas Gerais,352621,1
7367,42,2,0.0,Rio de Janeiro,352935,0
8019,73,2,1377.3223,São Paulo,353587,0
9638,50,2,1214.9811,Minas Gerais,355206,1
9055,55,1,0.0,São Paulo,354623,1
664,41,2,0.0,São Paulo,346232,0
2319,37,1,1570.9851999999996,Minas Gerais,347887,0
3542,34,1,1096.9908,Rio de Janeiro,349110,0
3677,33,2,0.0,Rio de Janeiro,349245,0
9599,32,1,795.2313,Minas Gerais,355167,0
3091,37,2,0.0,São Paulo,348659,0
675,39,2,0.0,São Paulo,346243,0
8676,41,1,404.8876,São Paulo,354244,0
4884,49,1,1169.3311,Minas Gerais,350452,1
8079,37,2,0.0,São Paulo,353647,0
1962,52,3,1435.4236,Rio de Janeiro,347530,1
1840,34,1,760.0157,Rio de Janeiro,347408,0
7168,33,2,0.0,São Paulo,352736,0
9898,38,1,0.0,São Paulo,355466,1
3538,43,1,1208.4711,Minas Gerais,349106,1
8026,33,1,913.0172,São Paulo,353594,0
4866,37,1,950.2257,Minas Gerais,350434,0
4174,51,3,0.0,São Paulo,349742,0
8088,39,1,1001.1667,Minas Gerais,353656,1
4377,37,1,1014.557,São Paulo,349945,1
6211,40,1,1173.0429,Minas Gerais,351779,0
4766,38,2,0.0,Rio de Janeiro,350334,0
411,38,2,0.0,São Paulo,345979,0
613,38,1,872.0238,Rio de Janeiro,346181,0
6126,29,2,0.0,São Paulo,351694,0
5210,35,2,1297.173,São Paulo,350778,0
1430,29,1,823.4484,São Paulo,346998,0
2425,39,1,1397.239,Rio de Janeiro,347993,0
8841,36,1,1131.1026,Rio de Janeiro,354409,0
3833,38,2,1407.5206,Minas Gerais,349401,0
4718,26,1,1129.7257,São Paulo,350286,0
7185,44,2,1246.5559,Minas Gerais,352753,0
1417,24,2,1094.8354,Minas Gerais,346985,0
7199,32,1,0.0,Rio de Janeiro,352767,0
604,37,1,1505.2579999999996,São Paulo,346172,0
1272,39,2,1656.1041,Minas Gerais,346840,0
3964,37,1,0.0,São Paulo,349532,1
6367,41,1,0.0,São Paulo,351935,0
8746,34,2,1064.8666,São Paulo,354314,0
247,26,2,0.0,São Paulo,345815,0
9226,27,2,1302.318,São Paulo,354794,0
1982,28,1,1657.981,São Paulo,347550,0
2835,35,2,1166.6296,Rio de Janeiro,348403,0
5375,38,1,1114.8488,Rio de Janeiro,350943,0
199,35,1,964.2384,São Paulo,345767,0
485,35,1,1554.7054999999998,São Paulo,346053,0
6083,38,1,1141.4164,Minas Gerais,351651,1
8956,42,2,0.0,Rio de Janeiro,354524,0
455,36,2,0.0,São Paulo,346023,0
9798,30,1,1197.55,Minas Gerais,355366,0
8826,29,2,0.0,São Paulo,354394,0
6515,65,2,1516.5952,São Paulo,352083,0
1721,39,2,0.0,São Paulo,347289,0
7050,29,2,0.0,São Paulo,352618,0
6382,24,2,0.0,São Paulo,351950,0
8165,37,2,1547.1257999999998,Rio de Janeiro,353733,0
5767,45,2,0.0,São Paulo,351335,0
5809,32,1,0.0,São Paulo,351377,0
4626,32,1,0.0,São Paulo,350194,0
862,41,1,1139.8021,São Paulo,346430,0
2094,70,2,0.0,Rio de Janeiro,347662,0
947,38,1,1185.9041,São Paulo,346515,1
5641,42,2,926.1664,Minas Gerais,351209,0
1444,38,2,0.0,São Paulo,347012,0
1280,25,2,0.0,Rio de Janeiro,346848,0
3110,74,2,1148.8874,Minas Gerais,348678,1
8952,47,1,1397.5612,Minas Gerais,354520,1
7609,46,1,1059.6942,São Paulo,353177,0
5135,40,2,0.0,São Paulo,350703,0
3016,32,1,1140.846,São Paulo,348584,0
2302,49,2,0.0,São Paulo,347870,0
2004,29,1,1272.6975,Minas Gerais,347572,0
4580,32,1,711.8724000000002,São Paulo,350148,0
8704,42,2,1090.5204,Rio de Janeiro,354272,0
1005,52,3,1164.9731,Minas Gerais,346573,1
5138,34,1,0.0,São Paulo,350706,0
4317,28,2,0.0,São Paulo,349885,0
6558,38,1,1381.3134,São Paulo,352126,0
4387,67,2,0.0,Rio de Janeiro,349955,0
2132,43,2,860.5352,Rio de Janeiro,347700,1
4265,32,1,1473.0791,São Paulo,349833,0
2057,32,2,0.0,São Paulo,347625,0
5386,48,4,1183.1727,São Paulo,350954,1
229,29,1,1308.3022,Minas Gerais,345797,0
2889,31,1,0.0,São Paulo,348457,0
4472,23,2,1660.7048000000002,Minas Gerais,350040,0
6064,23,2,0.0,São Paulo,351632,0
7924,47,2,0.0,São Paulo,353492,0
7649,31,1,1105.8129,São Paulo,353217,0
8381,36,2,1138.7723,Minas Gerais,353949,0
209,45,1,1063.7685,São Paulo,345777,0
2758,36,2,0.0,São Paulo,348326,0
8471,51,3,0.0,São Paulo,354039,1
2948,29,2,1387.4024,São Paulo,348516,0
7116,49,3,1326.2376000000004,Minas Gerais,352684,1
6330,39,1,0.0,São Paulo,351898,0
1728,40,2,934.9982,Rio de Janeiro,347296,0
4176,39,1,1294.0187,Minas Gerais,349744,0
337,33,2,0.0,São Paulo,345905,0
4984,31,2,0.0,São Paulo,350552,0
6878,35,2,1818.2196,São Paulo,352446,1
7248,57,3,0.0,Rio de Janeiro,352816,1
8452,46,3,0.0,Rio de Janeiro,354020,1
1226,42,2,883.2431,Minas Gerais,346794,0
7608,31,2,0.0,Rio de Janeiro,353176,0
6827,49,1,0.0,São Paulo,352395,1
3540,43,1,0.0,São Paulo,349108,0
5868,46,1,0.0,São Paulo,351436,0
2111,25,2,0.0,São Paulo,347679,0
2691,37,2,0.0,São Paulo,348259,0
7153,36,2,0.0,Rio de Janeiro,352721,0
3707,42,2,834.9207000000001,Rio de Janeiro,349275,0
1017,41,1,1397.0631,Minas Gerais,346585,0
8511,28,2,1608.5813,Minas Gerais,354079,0
2807,33,2,1444.2795999999996,São Paulo,348375,0
5015,50,2,1218.1884,São Paulo,350583,0
1928,54,1,1343.8810999999996,Minas Gerais,347496,1
350,32,2,1075.9411,Rio de Janeiro,345918,0
5173,38,1,0.0,Rio de Janeiro,350741,0
4192,60,2,0.0,São Paulo,349760,0
1934,30,2,1113.7532,Minas Gerais,347502,0
6901,31,1,1069.4208,São Paulo,352469,0
4823,32,1,1145.1259,Rio de Janeiro,350391,0
564,38,1,1210.2105,Rio de Janeiro,346132,0
1582,38,2,944.56,São Paulo,347150,0
4694,45,1,1070.2303,Rio de Janeiro,350262,0
2175,34,2,1018.6136,Minas Gerais,347743,0
7028,26,1,1475.2703,Minas Gerais,352596,0
4880,33,1,792.8161,Rio de Janeiro,350448,0
2228,37,2,0.0,São Paulo,347796,0
1115,48,1,870.7022999999998,Rio de Janeiro,346683,0
3126,43,1,1349.1985,São Paulo,348694,0
3544,33,1,0.0,Rio de Janeiro,349112,0
5048,42,1,168.9359,São Paulo,350616,0
7476,44,2,1110.9558,São Paulo,353044,0
821,36,1,1560.2131,São Paulo,346389,0
6532,67,3,0.0,São Paulo,352100,0
2272,57,1,1120.4472,Minas Gerais,347840,1
5545,33,1,941.2667,Minas Gerais,351113,0
81,32,1,0.0,São Paulo,345649,1
1323,50,2,1594.5364000000004,Rio de Janeiro,346891,1
9405,36,1,0.0,São Paulo,354973,1
1614,77,3,0.0,São Paulo,347182,0
831,41,1,0.0,Rio de Janeiro,346399,0
3883,39,1,977.0002,São Paulo,349451,0
8641,47,1,1189.076,Minas Gerais,354209,1
4464,41,2,0.0,São Paulo,350032,0
5339,55,1,1252.9253,Minas Gerais,350907,1
8066,43,2,1347.4019,Minas Gerais,353634,0
1649,41,2,0.0,Rio de Janeiro,347217,0
4065,30,2,0.0,Rio de Janeiro,349633,0
9665,30,2,0.0,São Paulo,355233,0
3038,47,2,0.0,São Paulo,348606,0
3320,24,1,0.0,São Paulo,348888,0
7143,54,2,0.0,São Paulo,352711,0
6889,25,2,1106.6642,São Paulo,352457,0
5092,39,2,0.0,São Paulo,350660,1
3720,40,2,1525.7625,Minas Gerais,349288,0
2423,29,2,0.0,São Paulo,347991,0
749,46,2,1275.5997,Minas Gerais,346317,0
5271,40,1,1002.7588,Minas Gerais,350839,1
2373,31,2,942.6391,São Paulo,347941,0
4693,32,1,1472.5685999999996,São Paulo,350261,0
9879,62,2,1183.5689,Minas Gerais,355447,1
8370,32,1,1213.9442,São Paulo,353938,0
7319,37,2,1426.8857,Minas Gerais,352887,0
4368,33,1,1386.6424,Minas Gerais,349936,0
6785,41,1,1046.3167,Rio de Janeiro,352353,0
7401,39,2,1291.8915,São Paulo,352969,0
1139,57,1,1096.7972,Rio de Janeiro,346707,0
7631,40,1,953.128,Rio de Janeiro,353199,0
2231,35,1,1722.7401,São Paulo,347799,0
2164,77,1,1490.8370000000002,Rio de Janeiro,347732,0
5217,28,1,976.1212,São Paulo,350785,0
9444,41,2,1279.1371,Minas Gerais,355012,0
9237,40,2,1143.1878,Minas Gerais,354805,1
4561,31,2,1272.3725,Minas Gerais,350129,0
1570,49,2,1108.6438,Rio de Janeiro,347138,1
172,44,1,1296.0857,Minas Gerais,345740,1
7163,46,2,0.0,São Paulo,352731,0
2087,52,2,659.7161,São Paulo,347655,1
4667,54,1,1447.6894,Minas Gerais,350235,1
4565,46,1,765.9779,Rio de Janeiro,350133,0
7089,48,2,0.0,Rio de Janeiro,352657,0
6569,38,1,1331.0547,Minas Gerais,352137,1
4783,37,2,0.0,São Paulo,350351,0
2684,28,2,0.0,Rio de Janeiro,348252,0
1832,22,1,0.0,São Paulo,347400,0
8546,35,2,1585.8428,Minas Gerais,354114,0
5065,27,1,985.9025,São Paulo,350633,0
9130,39,2,1493.6312,Minas Gerais,354698,0
9355,40,1,0.0,Rio de Janeiro,354923,0
4412,40,2,0.0,São Paulo,349980,0
7207,30,2,1452.2298999999996,Rio de Janeiro,352775,0
9890,37,1,1551.8729999999996,Rio de Janeiro,355458,0
834,30,2,0.0,São Paulo,346402,0
6821,39,2,1201.4596,São Paulo,352389,1
3781,27,1,1510.2756,Minas Gerais,349349,0
9012,41,2,0.0,São Paulo,354580,0
7499,71,1,1133.171,Minas Gerais,353067,1
3424,42,2,0.0,Rio de Janeiro,348992,0
65,36,2,1698.3146,Minas Gerais,345633,0
2963,51,2,0.0,São Paulo,348531,0
5669,33,2,1353.1041,Minas Gerais,351237,0
8962,38,1,1444.5058,São Paulo,354530,0
354,45,2,1878.4199,São Paulo,345922,0
8171,44,2,1793.5628,Rio de Janeiro,353739,1
4030,42,1,0.0,Rio de Janeiro,349598,0
8534,31,2,0.0,São Paulo,354102,0
3651,79,1,618.1123,São Paulo,349219,0
6739,55,2,1323.8791,São Paulo,352307,0
3297,41,1,1387.3494,Rio de Janeiro,348865,0
4127,52,1,0.0,Rio de Janeiro,349695,1
8043,31,1,1413.5647,Rio de Janeiro,353611,0
4767,39,2,0.0,Rio de Janeiro,350335,0
472,26,1,938.4469,São Paulo,346040,0
3761,64,1,1283.067,São Paulo,349329,0
8617,37,2,0.0,São Paulo,354185,0
3566,25,1,1048.3379,Rio de Janeiro,349134,0
2760,68,1,1001.9444,Minas Gerais,348328,0
868,44,2,1081.2239,Minas Gerais,346436,1
9382,38,1,595.6857,São Paulo,354950,0
8688,40,1,1543.0967,Minas Gerais,354256,1
4052,41,2,1132.202,Minas Gerais,349620,0
6130,35,2,1505.6103,Minas Gerais,351698,0
3244,32,2,1468.1099,Minas Gerais,348812,0
4842,56,3,509.1121,Rio de Janeiro,350410,1
9330,34,2,0.0,São Paulo,354898,0
5640,24,2,956.7562,Minas Gerais,351208,1
5780,42,1,1660.3145000000004,Minas Gerais,351348,0
8540,40,2,1069.0142,Minas Gerais,354108,0
1075,32,2,1403.4856,Minas Gerais,346643,0
2957,41,1,0.0,São Paulo,348525,1
6752,38,1,1239.0655,Rio de Janeiro,352320,0
8657,43,2,0.0,São Paulo,354225,1
7272,74,1,1212.7632,São Paulo,352840,0
4759,34,1,0.0,Rio de Janeiro,350327,0
4862,55,1,1336.7665,Rio de Janeiro,350430,0
7025,51,3,0.0,Rio de Janeiro,352593,1
7647,25,1,783.9608000000002,São Paulo,353215,0
7161,36,1,1104.8048,São Paulo,352729,0
73,25,2,1577.8084,Minas Gerais,345641,0
4901,59,2,1780.5806,São Paulo,350469,1
4375,41,1,608.8068,Minas Gerais,349943,0
6698,31,1,0.0,São Paulo,352266,0
9805,33,1,1745.7135999999996,São Paulo,355373,0
1101,29,2,0.0,Rio de Janeiro,346669,0
9537,40,2,0.0,São Paulo,355105,0
7655,38,1,1152.2136,São Paulo,353223,0
5235,68,4,0.0,São Paulo,350803,1
5165,33,1,1409.5699,São Paulo,350733,0
118,31,1,1078.1863,Minas Gerais,345686,1
2022,24,2,1308.0642,Minas Gerais,347590,0
9885,33,1,1266.7969,São Paulo,355453,0
2638,43,2,0.0,São Paulo,348206,0
2034,34,2,1483.7519,Minas Gerais,347602,0
2564,38,1,1444.3204,São Paulo,348132,1
8665,40,2,0.0,São Paulo,354233,0
3543,49,1,1351.3339,São Paulo,349111,0
1219,44,2,1246.0158,Minas Gerais,346787,1
9714,56,1,1054.7374,Rio de Janeiro,355282,0
6711,36,2,1291.185,Minas Gerais,352279,0
2903,47,2,0.0,São Paulo,348471,0
3026,40,2,0.0,São Paulo,348594,0
2510,52,1,794.6896,São Paulo,348078,0
4201,46,1,1618.0609,Minas Gerais,349769,0
3207,56,1,1688.8308,Rio de Janeiro,348775,0
4489,35,2,0.0,São Paulo,350057,0
2755,31,2,0.0,Rio de Janeiro,348323,0
8889,39,1,1283.6259,São Paulo,354457,0
177,36,2,1904.7948,Minas Gerais,345745,0
1643,34,1,1243.7914,São Paulo,347211,0
9292,74,2,1864.4531,Minas Gerais,354860,0
3518,39,2,0.0,São Paulo,349086,0
1374,44,1,1077.6475,São Paulo,346942,0
1720,33,2,1056.6356,Minas Gerais,347288,0
3995,33,1,1238.7007,Rio de Janeiro,349563,0
3688,35,1,1102.4513,Minas Gerais,349256,0
2264,29,1,0.0,São Paulo,347832,0
87,30,2,0.0,São Paulo,345655,0
2848,41,2,0.0,São Paulo,348416,0
8687,42,2,644.0426,Minas Gerais,354255,0
403,36,2,704.3801,Rio de Janeiro,345971,0
9900,39,2,1216.8191,Minas Gerais,355468,0
4077,33,2,0.0,Rio de Janeiro,349645,0
6835,33,2,0.0,São Paulo,352403,0
6537,39,1,1464.0868,Rio de Janeiro,352105,0
2456,25,1,1211.6689,Rio de Janeiro,348024,0
2751,42,2,1297.353,São Paulo,348319,0
2214,26,2,626.1096,São Paulo,347782,0
1027,35,1,1333.7779999999998,Minas Gerais,346595,0
9703,43,2,1110.9405,Minas Gerais,355271,0
1421,32,1,1100.2977,Minas Gerais,346989,0
2436,37,2,0.0,Rio de Janeiro,348004,0
4277,51,1,1237.8325,Minas Gerais,349845,0
9609,35,2,0.0,São Paulo,355177,0
1278,67,2,0.0,Rio de Janeiro,346846,0
6220,33,2,1019.5297,São Paulo,351788,0
4907,34,1,1615.8889,São Paulo,350475,0
5064,47,2,0.0,São Paulo,350632,0
1978,37,2,1071.0633,Minas Gerais,347546,0
1061,38,2,0.0,Rio de Janeiro,346629,0
5014,35,2,0.0,Rio de Janeiro,350582,0
4535,37,1,1011.9183,Minas Gerais,350103,1
6993,35,2,1030.1512,São Paulo,352561,0
9253,49,2,0.0,Rio de Janeiro,354821,0
1502,39,2,863.5087,Minas Gerais,347070,0
